institute_id,institute_name,programme_offered,broad_field,degree_type,total_seats,eligibility,city,state,admissions_url,source_page,remarks
ALAG001,Alagappa University,MSc Biotechnology,Biotechnology,MSc,10,"B.Sc. Physical Sciences (Physics, Chemistry or equivalent)/ Biological (Botany, Zoology, Biochemistry, Microbiology, Biotechnology or equivalent)/ Agricultural/ Veterinary/ Fisheries Sciences/ Pharmacy/ Engineering in relevant discipline/ Technology or equivalent degree (with 55% for others and for SC/ST 50% marks)",Karaikudi,Tamil Nadu,https://www.alagappauniversity.ac.in,1,SC/ST relaxation to 50%
AMITY001,Amity University Haryana,MSc Biotechnology,Biotechnology,MSc,10,"Bachelor degree with at least 55% marks in Life Sciences, Agriculture, Pharmacy, Biological, Biotechnology, Physical, Veterinary and Fishery Sciences",Gurugram,Haryana,https://www.amity.edu/gurugram,1,No maximum age limit
AAU001,Assam Agricultural University,MSc Molecular Biology and Biotechnology,Molecular Biology & Biotechnology,MSc,11,Passed B.Sc. (Agri.)/B.Sc. (Hort.)/B.Sc. (Agric. Biotech)/B.Sc. (Seri.)/B.Sc. (Hons.) Agriculture/Horticulture/Fisheries/Forestry/Sericulture/Home Science/Community Science or B.Sc. Biology/Botany/Zoology/Life Sciences/Biotechnology/Bioinformatics/Biochemistry/Microbiology,Jorhat,Assam,http://www.aau.ac.in,1,Category-wise CGPA requirements
BGSBU001,Baba Ghulam Shah Badshah University,MSc Bioresources Biotechnology,Bioresources Biotechnology,MSc,20,"Bachelor’s degree in Biological, Agricultural, Physical, Veterinary and Fishery Sciences, Pharmacy, Engineering/Technology, 4-years B.Sc. (Physician Assistant Course), MBBS or BDS, with at least 55% marks",Rajouri,Jammu and Kashmir,https://www.bgsbu.ac.in,2,Minimum 55% marks
BHU001,Banaras Hindu University,MSc Biotechnology,Biotechnology,MSc,30,"Bachelor's Degree under 10+2+3 pattern in Physical, Biological, Agricultural, Veterinary and Fishery Science, Pharmacy, Engineering/Technology, 4 years B.Sc. (Physician Assistant Course), or MBBS/BDS with at least 55% marks",Varanasi,Uttar Pradesh,https://www.bhu.ac.in,2,Minimum 55% marks
BHU002,Banaras Hindu University,MSc Molecular and Human Genetics,Molecular & Human Genetics,MSc,30,"Graduate Degree in Physical, Biological, Agricultural, Veterinary and Fishery Sciences, Pharmacy, Engineering/Technology, 4-years B.Sc. (Physician Assistant Course), or MBBS/BDS with at least 55% marks",Varanasi,Uttar Pradesh,https://www.bhu.ac.in,2,Minimum 55% marks
BANAS001,Banasthali Vidyapith,MSc Biotechnology,Biotechnology,MSc,30,55% in Bachelor's degree in various Life Science disciplines,Banasthali,Rajasthan,https://www.banasthali.org,2,Women candidates only
BERH001,Berhampur University,MSc Biotechnology,Biotechnology,MSc,10,"Any Science Graduate (Physical Science, Chemical Science, Biological Science, Medical Science and/or Agriculture) having 50% marks in aggregate with Biology at +2/Senior Secondary level",Berhampur,Odisha,https://www.buodisha.edu.in,2,Biology required at +2 level
BHAR001,Bharathiar University,MSc Medical Biotechnology,Medical Biotechnology,MSc,10,Bachelor's degree in any Life Sciences/Biological Sciences; Bachelor degree in Technology (Biotechnology/Biomedical Engineering); MBBS/BDS/BVSc/BPharm,Coimbatore,Tamil Nadu,https://bu.ac.in,3,Medical Biotechnology specialization
BODO001,Bodoland University,MSc Biotechnology,Biotechnology,MSc,10,GAT-B 2026 qualified and B.Sc with 55% marks for General and 50% for ST/SC/OBC categories in any Life Sciences,Kokrajhar,Assam,https://buniv.edu.in,3,GAT-B qualification mandatory
CUJ001,Central University of Jammu,MSc Biotechnology,Biotechnology,MSc,10,Bachelor’s degree with Biotechnology/Microbiology/Biochemistry/Botany/Zoology/Bioinformatics/Pharmacy/Life Sciences/any allied discipline in Biosciences with 55% marks or equivalent grade (50% for SC/ST/PWD),Jammu,Jammu and Kashmir,https://www.cujammu.ac.in,3,SC/ST/PWD relaxation
CURAJ001,Central University of Rajasthan,MSc Biotechnology,Biotechnology,MSc,10,Bachelor’s degree with Microbiology/Zoology/Botany/Life Sciences/Biochemistry/Genetics/Biotechnology/Medicine/Pharmacy or other Biological Sciences and Chemistry for at least one year/two semesters,Ajmer,Rajasthan,https://www.curaj.ac.in,3,"50% General, 45% reserved categories"
CUSB001,Central University of South Bihar,MSc Biotechnology,Biotechnology,MSc,10,Bachelor's degree in Biotechnology or Biological Sciences or B.Sc. (Hons.) Zoology/Botany/Chemistry or B.Sc./Integrated B.Sc.-B.Ed. with Zoology/Botany/Chemistry,Gaya,Bihar,https://www.cusb.ac.in,4,"55% General/OBC/EWS, 50% SC/ST/PWD"
CUTN001,Central University of Tamil Nadu,MSc Biotechnology,Biotechnology,MSc,10,"B.Sc. Degree in Biological, Agriculture, Pharmacy, Chemical, Veterinary and Fishery Sciences, Engineering/Technology, MBBS, BDS or equivalent",Thiruvarur,Tamil Nadu,https://cutn.ac.in,4,Maximum age 30 years; 35 years for SC/ST and women; PWD reservation
COTTON001,Cotton University,MSc Molecular Biology and Biotechnology,Molecular Biology & Biotechnology,MSc,10,Bachelor’s Degree with Major/Honours in Zoology/Botany/Biotechnology/Microbiology or similar discipline,Guwahati,Assam,https://cottonuniversity.ac.in,4,Major/Honours required
GABU001,Gautam Buddha University,MSc Biotechnology,Biotechnology,MSc,10,B.Sc. Degree in Life Science/Biology/Biotechnology or any area of Biology with minimum 50% marks (45% for SC/ST),Greater Noida,Uttar Pradesh,https://www.gbu.ac.in,5,SC/ST relaxation
GIET001,GIET University,MSc Biotechnology,Biotechnology,MSc,10,B.Sc. Biotechnology/Biochemistry/Microbiology/Botany/Zoology/Physics/Chemistry/Environmental Sciences/Agriculture/BVSc/B.Tech Biotechnology/B.Pharma/BAMS/BHMS/BPT and related disciplines with minimum 45% marks,Gunupur,Odisha,https://www.giet.edu,5,Minimum 45% marks
GOA001,Goa University,MSc Marine Biotechnology,Marine Biotechnology,MSc,30,"B.Sc. Degree under 10+2+3 in Physical, Chemical, Biological, Agriculture, Fisheries, Pharmaceutical, Medicine, Engineering or Technology disciplines with 55% marks",Taleigao,Goa,https://www.unigoa.ac.in,5,SC/ST/PWD eligible irrespective of percentage
GTU001,Gujarat Technological University,MSc Industrial Biotechnology,Industrial Biotechnology,MSc,10,B.Sc. in Biological and allied subjects or Chemistry/Life Sciences/Pharmaceutical Sciences with Biology and at least 50% marks,Ahmedabad,Gujarat,https://www.gtu.ac.in,5,No maximum age limit
GADVASU001,Guru Angad Dev Veterinary and Animal Sciences University,MSc Molecular Biology and Biotechnology (Animal Biotechnology),Animal Biotechnology,MSc,10,B.Tech Biotechnology/B.Sc Biotechnology/Medical/Life Sciences/B.Sc Hons Biotechnology/Biochemistry/Microbiology/Molecular Genetics/B.F.Sc/B.E Biotechnology,Ludhiana,Punjab,https://www.gadvasu.in,5,Preference to 4-year degree holders
GGU001,Guru Ghasidas Vishwavidyalaya,MSc Biotechnology,Biotechnology,MSc,10,"B.Tech/B.Sc/B.Sc.(Hons) in Biotechnology, Botany, Zoology, Biochemistry, Microbiology, Biophysics, Life Sciences, Bio-Sciences or allied Biological/Life Sciences subjects with at least 50% marks in aggregate",Bilaspur,Chhattisgarh,https://www.ggu.ac.in,6,"Maximum age: Gen 25 years, OBC 28 years, SC/ST 30 years"
GJUST001,Guru Jambheshwar University of Science and Technology,MSc Biotechnology,Biotechnology,MSc,30,"Graduate in Biological Science, Veterinary Science, Agricultural Sciences, Fishery Sciences, Pharmacy, B.Tech Biotechnology, Medicine (MBBS/BAMS/BDS) or BMLT with at least 50% marks",Hisar,Haryana,https://www.gjust.ac.in,6,Pass marks acceptable for Haryana SC candidates
GNDU001,Guru Nanak Dev University,MSc Biotechnology,Biotechnology,MSc,30,"Bachelor's degree under 10+2+3 pattern in Physical, Chemical, Biological, Agricultural, Veterinary and Fishery Sciences, Pharmacy, Engineering/Technology, 4-year B.Sc. (Physician Assistant Course), MBBS/BDS with at least 50% marks",Amritsar,Punjab,https://www.gndu.ac.in,6,SC candidates require 45% marks
CUHP001,Himachal Pradesh University,MSc Biotechnology,Biotechnology,MSc,30,"Bachelor's degree under 10+2+3 pattern in Physical, Biological, Agricultural, Veterinary and Fisheries Sciences, Pharmacy, Engineering/Technology, 4-year B.Sc. (Physician Assistant Course), MBBS/BDS",Shimla,Himachal Pradesh,https://www.hpuniv.ac.in,6,"55% General/Others, 50% SC/ST"
IIS001,IIS (Deemed to be University),MSc Biotechnology,Biotechnology,MSc,10,GAT-B qualified students with Bachelor's degree in any branch of Life Sciences or Allied Sciences with at least 50% marks (UR) and 45% marks (EWS/SC/ST/OBC/PwD/DA),Jaipur,Rajasthan,https://www.iisuniv.ac.in,6,Women candidates only
IITI001,Indian Institute of Technology Indore,MSc Biotechnology,Biotechnology,MSc,10,"Bachelor's degree (3/4/5 years) in Biology, Biotechnology, Agriculture or allied discipline with any biology subject",Indore,Madhya Pradesh,https://iiti.ac.in,7,GEN/OBC/EWS: 60% or CGPA 6.0; SC/ST/PwD: 55% or CGPA 5.5; No age limit
IAR001,Institute of Advanced Research,MSc Biotechnology,Biotechnology,MSc,10,As per DBT norms and Institute of Advanced Research admission norms,Gandhinagar,Gujarat,https://iar.ac.in,7,Maximum age 25 years; relaxation 5 years SC/ST and 3 years OBC
JMI001,Jamia Millia Islamia,MSc Biotechnology,Biotechnology,MSc,10,"B.Pharma/B.Sc/B.Sc(Hons) in Biosciences, Biotechnology, Biotechnology (Voc.), Biological Sciences, Biochemistry, Microbiology, Genetics or any area of Modern Biology with not less than 50% marks",New Delhi,Delhi,https://www.jmi.ac.in,7,Minimum 50% aggregate
JNU001,Jawaharlal Nehru University,MSc Computational and Integrative Sciences,Computational Biology,MSc,15,Minimum 55% marks in Bachelor's degree in any branch of Basic and Applied Science or Technology including medicine and engineering disciplines,New Delhi,Delhi,https://www.jnu.ac.in/main,8,Minimum 55% marks
JNU002,Jawaharlal Nehru University,MSc Biotechnology,Biotechnology,MSc,30,"Bachelor's degree under 10+2+3 pattern in Physical, Biological (Biochemistry, Bioinformatics, Biotechnology, Botany, Microbiology, Zoology), Agricultural, Veterinary and Fishery Sciences, Pharmacy, Engineering/Technology, 4-year B.Sc. (Physician Assistant Course), MBBS/BDS",New Delhi,Delhi,https://www.jnu.ac.in/main,8,Minimum 55% marks
JUIT001,Jaypee University of Information Technology,MSc Biotechnology,Biotechnology,MSc,10,"Passed/Appeared Bachelor's degree in Life Sciences, Environmental Sciences, Physical Sciences, Agricultural Sciences, MBBS, BDS, Pharmacy, Veterinary and Fishery Sciences or equivalent",Solan,Himachal Pradesh,https://www.juit.ac.in,8,"50% for General category, 45% for SC/ST; final-year students eligible provisionally"
MKU001,Madurai Kamaraj University,MSc Biotechnology,Biotechnology,MSc,30,"Bachelor's degree in Biotechnology, Life Sciences, Zoology, Botany, Microbiology, Biochemistry, Biomedical Sciences, Chemical Sciences (with biology subject), B.Tech Biotechnology or MBBS",Madurai,Tamil Nadu,https://www.mkuniversity.ac.in,8,Minimum 55% marks
NDVSU001,Nanaji Deshmukh Veterinary Science University,MSc Animal Biotechnology,Animal Biotechnology,MSc,5,B.Sc Life Science or B.Tech Biotechnology for M.Sc Animal Biotechnology programme,Jabalpur,Madhya Pradesh,https://www.ndvsu.org,9,Institution also mentions separate MVSc Veterinary Biotechnology eligibility
NCT001,National College,MSc Biotechnology,Biotechnology,MSc,10,"Bachelor degree in Biotechnology, Microbiology, Botany, Zoology, Biochemistry, Agricultural Science or equivalent; B.Tech Biotechnology, Agriculture, MBBS or equivalent",Tiruchirappalli,Tamil Nadu,https://www.nct.ac.in,9,Minimum 55%; final-year candidates eligible subject to passing
NITD001,National Institute of Technology Durgapur,MSc Life Sciences (Microbial Biotechnology / Plant & Animal Biotechnology),Life Sciences,MSc,10,"B.Sc in any branch of Life Sciences, Chemistry or Physics",Durgapur,West Bengal,https://nitdgp.ac.in,9,Gen/EWS/OBC-NCL: 60% or CGPA 6.5; SC/ST/PWD: 55% or CGPA 6.0
NITTE001,NITTE (Deemed to be University),MSc Marine Biotechnology,Marine Biotechnology,MSc,10,"B.Sc in Biological Sciences, Marine Biology, Fishery Science, Veterinary Science, Life Science, Agriculture, Horticulture, Biotechnology, Biomedical Science, Microbiology, Biochemistry, Food Science, Genetics or Molecular Biology",Mangaluru,Karnataka,https://nucser.nitte.edu.in,9,Marine Biotechnology specialization
NEHU001,North Eastern Hill University,MSc Biotechnology,Biotechnology,MSc,30,As per DBT criteria and NEHU mandate,Shillong,Meghalaya,https://www.nehu.ac.in,10,Eligibility governed by DBT and university rules
OU001,Osmania University,MSc Molecular and Human Genetics,Molecular & Human Genetics,MSc,10,"Bachelor's degree in Engineering, Technology or Life Sciences in biology-related disciplines",Hyderabad,Telangana,https://www.instituteofgenetics.org,10,"General 55%, OBC(NCL) 50%, SC/ST/PWD 40%"
PONDI001,Pondicherry University,MSc Biotechnology,Biotechnology,MSc,30,"Bachelor's degree under 10+2+3 pattern in Physical, Biological (Biochemistry, Bioinformatics, Biotechnology, Botany, Microbiology, Zoology), Agricultural, Veterinary and Fishery Sciences, Pharmacy, Engineering/Technology, 4-year B.Sc. (Physician Assistant Course), MBBS or BDS",Puducherry,Puducherry,https://www.pondiuni.edu.in,10,Minimum 55%; no age limit
PGIMER001,Postgraduate Institute of Medical Education and Research,MSc Medical Biotechnology,Medical Biotechnology,MSc,10,B.Sc with 55% marks in any Life/Biological Sciences subject (General) and 50% marks for SC/ST/OBC candidates or MBBS,Chandigarh,Chandigarh,https://pgimer.edu.in,10,Medical Biotechnology specialization
RDWU001,Rama Devi Women's University,MSc Biotechnology,Biotechnology,MSc,10,Bachelor's degree under 10+2+3 pattern in Physical and Biological Sciences with at least 55% marks in aggregate,Bhubaneswar,Odisha,https://www.rdwuniversity.nic.in,10,Women candidates only
SPPU001,Savitribai Phule Pune University,MSc Biotechnology,Biotechnology,MSc,30,Any Science Graduate,Pune,Maharashtra,https://www.unipune.ac.in,10,Eligibility stated as Any Science Graduate
SPPU002,Savitribai Phule Pune University,MSc Bioinformatics,Bioinformatics,MSc,30,"B.Sc. in Life Sciences/Physical Sciences/Chemical Sciences/Statistics/Mathematics/Computer Science OR B.E./B.Tech./MBBS/BAMS/BHMS/B.Pharm./B.V.Sc.; UR: 60% or CGPA 6.0, Reserved: 55% or CGPA 5.5",Pune,Maharashtra,https://bioinfo.net.in,11,Bioinformatics programme
SMVDU001,Shri Mata Vaishno Devi University,MSc Biotechnology,Biotechnology,MSc,10,Valid GAT-B score and Graduation (10+2+3/4) in any stream of Biosciences with at least 50% aggregate marks or equivalent CGPA,Katra,Jammu and Kashmir,https://www.smvdu.ac.in,11,GAT-B mandatory; maximum age 30 years
SPMVV001,Sri Padmavati Mahila Visvavidyalayam,MSc Biotechnology,Biotechnology,MSc,20,Bachelor's Degree with Chemistry/Biochemistry/Botany/Zoology/Biotechnology/Microbiology/Genetics/Medical Lab Technology/Applied Nutrition/Bioinformatics/Computer Applications with minimum 50% group aggregate marks,Tirupati,Andhra Pradesh,http://www.spmvv.ac.in,11,Women's University
